Area,Aspect
1342.5,1.6578947368421053
3063.5,0.84
1463.0,1.5609756097560976
932.0,0.9795918367346939
1174.0,0.5254237288135594
1049.0,2.0
1152.0,0.84
1015.5,1.9285714285714286
1171.5,2.2857142857142856
421.0,0.8928571428571429
5490.0,1.3870967741935485
559.0,1.5
970.0,1.896551724137931
192.5,1.2666666666666666
1074.5,1.1794871794871795
1139.0,0.96
697.0,1.3
1470.0,0.34146341463414637
1021.5,1.0909090909090908
1030.5,0.9761904761904762
1359.5,0.45588235294117646
333.0,0.84
301.5,1.15
7694.5,0.6352941176470588
281.5,1.2105263157894737
728.0,2.5555555555555554
340.5,1.0952380952380953
2741.5,0.8045977011494253
314.0,1.0476190476190477
5288.5,0.5285714285714286
2572.0,0.9714285714285714
402.0,1.4285714285714286
437.5,1.2916666666666667
5671.5,0.8758620689655172
2691.0,0.7529411764705882
1056.0,1.4444444444444444
107.5,1.0
1002.5,1.6451612903225807
2194.0,1.4482758620689655
677.0,1.1142857142857143
1982.5,0.9622641509433962
807.0,0.7674418604651163
1396.5,1.1914893617021276
51.5,0.8888888888888888
754.5,1.3666666666666667
1390.5,0.546875
1526.0,2.7586206896551726
98.0,0.9166666666666666
1108.5,0.9782608695652174
1550.5,1.2666666666666666
549.5,0.7647058823529411
102.0,1.7777777777777777
1103.0,1.1951219512195121
646.5,1.0333333333333334
618.0,0.8857142857142857
147.0,0.4782608695652174
517.0,1.4583333333333333
3395.0,0.9342105263157895
1549.5,1.6
1278.0,1.5789473684210527
488.0,1.2
1079.5,1.65625
2049.0,1.2333333333333334
53.5,0.8888888888888888
1175.5,0.9574468085106383
938.5,1.9615384615384615
1431.0,0.7049180327868853
2769.5,0.8695652173913043
407.5,1.12
1455.5,0.7166666666666667
3039.5,1.044776119402985
1505.5,1.9705882352941178
1435.5,1.7142857142857142
1415.5,1.0
4464.5,0.8941176470588236
783.0,0.75
159.0,1.5
11833.5,2.1196581196581197
3593.0,1.178082191780822
1570.5,1.0377358490566038
3769.0,1.072289156626506
2538.5,1.1818181818181819
2663.0,1.11864406779661
1482.5,1.1041666666666667
1770.5,0.5492957746478874
1814.0,1.3773584905660377
4151.0,2.509433962264151
527707.5,1.3748006379585327
1359.5,1.0
4057.5,0.8536585365853658
71.5,0.8333333333333334
760.0,0.7692307692307693
1200.0,0.9111111111111111
160.0,1.5
10298.0,1.7796610169491525
3508.0,1.1643835616438356
1555.0,1.0185185185185186
194.5,1.4615384615384615
2531.5,1.1818181818181819
2764.0,1.098360655737705
1480.0,1.0816326530612246
7373.5,0.8205128205128205
1764.0,0.5492957746478874
2895.0,0.7564102564102564
1825.5,1.3773584905660377
770.5,0.8055555555555556
4239.5,2.1864406779661016
528815.5,1.4338118022328548
1367.5,0.9795918367346939
4652.5,0.9069767441860465
743.5,0.7435897435897436
99.5,1.3571428571428572
213.0,1.4285714285714286
11671.5,2.128205128205128
3329.5,1.1666666666666667
1073.0,1.0909090909090908
1245.5,2.1379310344827585
99.0,1.0909090909090908
2738.0,1.0819672131147542
7629.0,0.8220338983050848
1399.5,1.9090909090909092
2879.5,0.7468354430379747
4684.5,1.2467532467532467
781.5,0.8055555555555556
4167.0,2.1864406779661016
511840.5,1.342902711323764